"","test","replications","elapsed","relative","user.self","sys.self","type"
"3","linear system",100,0.0349999999998545,1,0.0999999999999979,0.0940000000000012,"Remote"
"1","lm",100,0.0919999999996435,2.629,0.0899999999999999,0,"Remote"
"2","pseudoinverse",100,0.0370000000002619,1.057,0.133000000000003,0.152000000000001,"Remote"
"31","linear system",1000,0.341000000000349,1,0.847000000000001,0.844000000000001,"Remote"
"11","lm",1000,0.953999999999724,2.798,0.940000000000001,0.00300000000000011,"Remote"
"21","pseudoinverse",1000,0.38799999999992,1.138,1.351,1.713,"Remote"
"32","linear system",10000,1.69700000000012,1,4.942,5.168,"Remote"
"12","lm",10000,9.67399999999998,5.701,9.488,0.0729999999999968,"Remote"
"22","pseudoinverse",10000,3.82100000000082,2.252,13.604,16.657,"Remote"
"33","linear system",100000,17.8500000000004,1,51.801,53.336,"Remote"
"13","lm",100000,96.924,5.43,95.261,0.564,"Remote"
"23","pseudoinverse",100000,51.384,2.879,160.448,195.601,"Remote"
"14","linear system",100,0.02,1,0.02,0,"Local"
"24","lm",100,0.08,4,0.08,0,"Local"
"34","pseudoinverse",100,0.02,1,0.02,0,"Local"
"4","linear system",1000,0.12,1,0.12,0,"Local"
"5","lm",1000,0.79,6.583,0.79,0,"Local"
"6","pseudoinverse",1000,0.21,1.75,0.22,0,"Local"
"7","linear system",10000,1.2,1,1.2,0,"Local"
"8","lm",10000,7.59,6.325,7.6,0,"Local"
"9","pseudoinverse",10000,1.39,1.158,1.39,0,"Local"
"10","linear system",100000,12.23,1,12.22,0,"Local"
"111","lm",100000,72.23,5.906,72.05,0.04,"Local"
"121","pseudoinverse",100000,13.93,1.139,13.93,0,"Local"
